id,department,confidence,confidence_level,needs_review,processing_time_ms,status
1,IT,0.6869138479232788,MEDIUM,true,979.917049407959,success
2,Finance,0.9582780599594116,HIGH,false,158.04696083068848,success
3,HR,0.9756929278373718,HIGH,false,171.19812965393066,success
4,Healthcare,0.489172101020813,LOW,true,144.8061466217041,success
5,IT,0.9448183178901672,HIGH,false,140.54131507873535,success
6,IT,0.9489288330078125,HIGH,false,140.65241813659668,success
7,Sales,0.9527164101600647,HIGH,false,130.51295280456543,success
8,Engineering,0.9594884514808655,HIGH,false,137.27474212646484,success
9,Healthcare,0.5860322117805481,MEDIUM,true,143.03946495056152,success
10,Finance,0.9359452724456787,HIGH,false,134.63640213012695,success
